region,place,latitude,longitude,detail,rating
Metro Manila,Intramuros,14.5909588,120.9746537,"The historic walled city in Manila, known for its Spanish-era landmarks, including Fort Santiago, Manila Cathedral, and San Agustin Church.",9667.9
Metro Manila,Rizal Park,14.5806732,120.9753974,"A significant historical urban park in Manila, featuring the Rizal Monument, a tribute to national hero José Rizal.",127521
Metro Manila,The National Museum of the Philippines,14.5869301,120.9812506,"Houses the country's national treasures, showcasing Filipino art, archaeology, and natural history.",63727.3
Metro Manila,Manila Ocean Park,14.5793627,120.9724759,"A marine-themed park with an oceanarium, interactive animal shows, and various marine life exhibits.",66074.4
Metro Manila,Quezon Memorial Circle,14.6514468,121.0492878,"A national park and shrine in Quezon City dedicated to President Manuel L. Quezon, with a towering monument and museum.",62198.4
Metro Manila,Art in Island Museum,14.6224597,121.0574087,A unique interactive art museum in Quezon City where visitors can pose with 3D art installations.,11227.5
Metro Manila,SM Mall of Asia,14.5352089,120.9815985,"One of the largest shopping malls in the Philippines, located in Pasay City, offering extensive retail, dining, and entertainment options.",259353
Metro Manila,The Mind Museum,14.5520716,121.0455361,"A science museum in Taguig City with interactive exhibits on various scientific disciplines, including physics, biology, and astronomy.",11382.8
Metro Manila,St. Joseph Parish Church and the Bamboo Organ,14.4810353,120.9813904,"Located in Las Piñas, famous for housing the world's only bamboo organ, a national cultural treasure.",6241.6
Metro Manila,Ayala Museum,14.5535834,121.0232447,"An art and history museum in Makati, featuring exhibits on Filipino culture, history, and visual arts.",6219.2
Cordillera Administrative Region,Baguio Cathedral,16.412901,120.598497,"A Neo-Gothic cathedral known for its twin spires and stained glass windows, a popular site for tourists and worshippers.",10170.6
Cordillera Administrative Region,Burnham Park,16.4080101,120.5959849,"A central park in Baguio featuring a man-made lake, gardens, and recreation areas.",35823.3
Cordillera Administrative Region,Wright Park,16.4151386,120.6185897,"Known for its “Pool of Pines” and horseback riding activities, a favorite among families and tourists.",10646.8
Cordillera Administrative Region,Mansion,16.4123556,120.6214518,"The official summer residence of the President of the Philippines, famous for its ornate gate and well-manicured gardens.",6432.8
Cordillera Administrative Region,Colors of Stobosa,16.4338458,120.5974401,"A vibrant mural on hillside homes in La Trinidad, transforming the area into a colorful attraction.",1290
Cordillera Administrative Region,Sugong Cave,14.5962,120.3928,"A popular cave in Sagada used for burial, known for its coffins stacked at the entrance.",248.4
Cordillera Administrative Region,Sumaguing Cave,17.0667416,120.9029633,Renowned for its impressive rock formations and challenging spelunking routes in Sagada.,2683.7
Cordillera Administrative Region,Bontoc Museum,17.089682,120.9756636,Exhibits the culture and history of the indigenous peoples of the Cordillera region.,677.6
Cordillera Administrative Region,Banaue Rice Terraces,16.91356,121.06184,"Famous UNESCO World Heritage site, these 2,000-year-old terraces are a marvel of ancient engineering.",5681
Cordillera Administrative Region,Philippine War Memorial Shrine,16.7793579,121.0813701,"Honors Filipino soldiers who fought during World War II, located in Kiangan, Ifugao.",141
Cordillera Administrative Region,Apo Whang Od,17.27611,121.1625,The oldest traditional Kalinga tattoo artist (mambabatok) known for her intricate designs and cultural significance.,779.1
Cordillera Administrative Region,Kaparkan Falls,17.76701,120.928,"Also known as Mulawin Falls, features terraced cascades in Abra, a hidden gem in the region.",366.6
Cordillera Administrative Region,Mines View Park,16.4197006,120.6274987,Offers a panoramic view of Benguet’s gold and copper mines and the surrounding mountains.,36859.2
Cordillera Administrative Region,Mt. Pulag,16.5977263,120.8987919,"The third highest mountain in the Philippines, known for its “sea of clouds” and diverse flora and fauna.",1689.6
Cordillera Administrative Region,Lussok Crystal Cave,18.3312102,121.3729788,"Located in Apayao, famous for its crystal-clear stalactites and stalagmites.",211.2
Ilocos Region,Paoay Church,18.0614917,120.5215906,A UNESCO World Heritage site known for its distinct Earthquake Baroque architecture.,5226.4
Ilocos Region,Malacañang of the North,18.1274031,120.5399925,A presidential museum in Ilocos Norte showcasing Marcos-era memorabilia.,2468.2
Ilocos Region,La Paz Sand Dunes,18.2269607,120.550281,Offers thrilling 4x4 rides and sandboarding adventures in the desert landscape of Ilocos Norte.,2538
Ilocos Region,Vigan City,17.5755487,120.3872632,A UNESCO World Heritage site famous for its well-preserved Spanish colonial and Asian architecture.,5060
Ilocos Region,Calle Crisologo,17.568051,120.3877225,"The historic cobblestone street in Vigan lined with Spanish-era houses, shops, and cafes.",9720
Ilocos Region,Bantay Bell Tower,17.5821518,120.3915997,"A historic watchtower in Ilocos Sur, offering views of the city and the nearby church.",1544.4
Ilocos Region,Padre Burgos House,17.57472,120.38694,"A museum in Vigan dedicated to the life of Father José Burgos, a Filipino nationalist.",331.1
Ilocos Region,Bangui Windmills,18.5285049,120.7036038,"Iconic wind turbines along the Bangui Bay in Ilocos Norte, providing renewable energy and scenic views.",3783.5
Ilocos Region,Hundred Islands National Park,16.1553857,119.9792201,"A protected area with 124 islands, known for its beautiful beaches and water activities.",5299.2
